,avgcpu,stdavgcpu,labelsavgcpu,avgmem,stdavgmem,labelsavgmem
0,0.7143129110336304,0.05983743816614151,0.7841433879549246,0.4327446520328522,0.056746721267700195,0.4772715724540699
1,0.7544487118721008,0.059792645275592804,0.7358747013087411,0.47205138206481934,0.05843304470181465,0.46806392007813
2,0.7695956230163574,0.05978760868310928,0.7243654481094189,0.4950436055660248,0.0593586228787899,0.4855447443194149
3,0.7655534148216248,0.05978887900710106,0.7398265019996974,0.47505486011505127,0.05855768918991089,0.5846745548872505
4,0.737959623336792,0.05978040024638176,0.6603781883534389,0.4742926061153412,0.05854511633515358,0.5969012807196066
5,0.7274990081787109,0.05977354198694229,0.6643977107558682,0.4903675615787506,0.0591982901096344,0.5877658467628089
6,0.7261732220649719,0.060046665370464325,0.7134286369635173,0.5690916776657104,0.06087047979235649,0.5224066560693141
7,0.6825863122940063,0.06009260565042496,0.7433518468099761,0.5724303722381592,0.06106282398104668,0.5971660684404316
8,0.686184287071228,0.06006314605474472,0.7510571315058842,0.568411648273468,0.061015937477350235,0.5826825492409937
9,0.7156791687011719,0.05984177440404892,0.7191481545694859,0.5241006016731262,0.0602678507566452,0.5327011993415058
10,0.7233402729034424,0.060195278376340866,0.7420405370164763,0.5893449783325195,0.061011817306280136,0.5826026057826832
11,0.7414226531982422,0.06000857800245285,0.740633045332734,0.5670958161354065,0.06089036166667938,0.5965881702964273
12,0.7198415398597717,0.05986019968986511,0.7435597882475667,0.5289616584777832,0.06038990989327431,0.5605201673308566
13,0.7346733212471008,0.06006460636854172,0.7225340053264971,0.5767905712127686,0.06099835783243179,0.5596103681674642
14,0.7407554388046265,0.06010378524661064,0.7668381706438719,0.583519458770752,0.061063189059495926,0.5285825337866661
15,0.7413762211799622,0.059961963444948196,0.7869617843246505,0.5554169416427612,0.06071055307984352,0.4793270862003931
16,0.725858211517334,0.059966832399368286,0.779609875669704,0.5585266351699829,0.060831259936094284,0.4451336018217722
17,0.762700080871582,0.05990644544363022,0.7838019509451014,0.5334272384643555,0.06020614504814148,0.4715812670970329
18,0.7887998819351196,0.05981545150279999,0.7695539641756594,0.4946063160896301,0.05923306569457054,0.4509711508246052
19,0.7939667701721191,0.05979297310113907,0.8269200084576344,0.47396203875541687,0.05851253122091293,0.4986597098153478
20,0.7850897908210754,0.059795428067445755,0.7994427129090856,0.4865034818649292,0.058998193591833115,0.4794215953282856
21,0.7865676283836365,0.0597991906106472,0.7979486739094047,0.47163504362106323,0.05840058997273445,0.4691647424475333
22,0.8086566925048828,0.05986689031124115,0.7186436168145848,0.5049756169319153,0.059382837265729904,0.403902225474015
23,0.8040167093276978,0.059795718640089035,0.6300200377214157,0.48619240522384644,0.05898977816104889,0.3218236242888657
24,0.8012904524803162,0.05979618802666664,0.754005979338655,0.4798406660556793,0.05873521789908409,0.3977131734314851
